,Part1_TotalDistinctConflicts,Part2_smallest_last_NumColors,Part2_smallest_last_runtime,Part2_smallest_last_clique,MaxDegreeAtDelete_smallest_last,Part2_largest_first_NumColors,Part2_largest_first_runtime,Part2_largest_first_clique,MaxDegreeAtDelete_largest_first,Part2_random_NumColors,Part2_random_ordering_runtime,Part2_random_ordering_clique,MaxDegreeAtDelete_random
113,116649,277,0.4079146385192871,6,277,277,0.34343934059143066,3,656,291,0.3448629379272461,6,628
114,107783,256,0.3628506660461426,6,256,256,0.3039367198944092,3,648,282,0.2949330806732178,3,606
115,99196,227,0.2890753746032715,4,227,227,0.25371551513671875,3,655,239,0.2353684902191162,5,583
116,106311,232,0.3243684768676758,6,232,232,0.27544641494750977,3,655,248,0.26521944999694824,4,630
117,109291,237,0.36038970947265625,3,237,237,0.28532838821411133,5,655,265,0.2838256359100342,4,626
118,104755,214,0.32503271102905273,3,214,215,0.2491469383239746,4,653,240,0.23941826820373535,6,609
119,105224,274,0.347231388092041,3,274,274,0.32562994956970215,5,644,286,0.3035709857940674,5,596
120,119171,284,0.4324040412902832,6,284,284,0.36292076110839844,5,651,313,0.36739540100097656,5,595
121,105221,249,0.3476381301879883,4,249,249,0.2916896343231201,6,648,278,0.2849602699279785,6,620
122,117143,285,0.47678470611572266,5,285,285,0.3645927906036377,5,650,302,0.38779520988464355,4,610
123,117468,292,0.45767641067504883,3,292,292,0.3690917491912842,3,653,314,0.38956236839294434,3,624
124,97515,197,0.28012657165527344,3,197,197,0.2227776050567627,5,649,213,0.21324729919433594,3,608
125,117598,264,0.3740541934967041,5,264,264,0.3299539089202881,5,654,280,0.34051084518432617,4,621
126,107725,249,0.3257935047149658,3,249,249,0.2950124740600586,4,654,261,0.2739589214324951,5,604
127,123536,287,0.4699251651763916,5,287,287,0.3709297180175781,4,655,312,0.39695262908935547,5,613
128,108749,278,0.36190176010131836,5,278,278,0.3401219844818115,4,657,307,0.31377077102661133,6,628
129,114595,275,0.40038490295410156,3,275,275,0.3434484004974365,6,650,305,0.362454891204834,3,587
130,109637,242,0.32670140266418457,3,242,242,0.289639949798584,3,653,269,0.28012657165527344,6,619
131,167831,343,0.6640868186950684,4,343,343,0.5683555603027344,6,750,367,0.6309685707092285,4,693
132,124707,210,0.34008073806762695,4,213,210,0.30264925956726074,6,758,234,0.256331205368042,4,643
133,152276,298,0.5701074600219727,6,298,299,0.4632246494293213,6,754,309,0.475644588470459,4,750
134,145061,259,0.45661044120788574,3,259,259,0.3868889808654785,4,757,279,0.3821890354156494,3,713
135,153157,272,0.5100517272949219,3,272,275,0.4296696186065674,6,761,297,0.4176506996154785,3,746
136,137308,282,0.433013916015625,3,282,282,0.3967254161834717,5,765,300,0.38867640495300293,6,673
137,148749,267,0.501502513885498,6,267,278,0.4120662212371826,3,758,286,0.439624547958374,5,731
138,159463,326,0.6584310531616211,4,326,326,0.5167863368988037,3,761,341,0.5783131122589111,5,671
139,129886,226,0.3540647029876709,3,226,229,0.3317883014678955,5,766,240,0.2986164093017578,5,671
140,149470,330,0.5661952495574951,5,330,330,0.5003776550292969,3,761,353,0.4772512912750244,3,741
141,147481,288,0.48900341987609863,5,288,288,0.42790913581848145,5,759,302,0.4256162643432617,6,704
142,155332,328,0.5935890674591064,4,328,328,0.5134172439575195,4,760,350,0.5520009994506836,4,708
143,146932,266,0.5068309307098389,5,266,271,0.40038108825683594,3,765,293,0.4176640510559082,6,702
144,136631,271,0.44704151153564453,5,271,274,0.4098999500274658,4,759,299,0.3481175899505615,6,711
145,144497,311,0.5004358291625977,5,311,311,0.45679378509521484,6,764,337,0.42752814292907715,3,737
146,138703,319,0.4919755458831787,4,319,319,0.464566707611084,5,755,347,0.4174158573150635,6,745
147,149036,352,0.5976498126983643,4,352,352,0.5546238422393799,5,756,373,0.5250608921051025,4,707
148,143094,256,0.45351576805114746,3,256,256,0.38467931747436523,6,759,276,0.35941123962402344,6,695
149,157580,319,0.6167731285095215,6,319,319,0.49224328994750977,6,762,348,0.5467820167541504,4,686
150,179995,308,0.6819684505462646,4,308,308,0.5561683177947998,6,819,326,0.5306332111358643,3,764
151,197825,358,0.8157610893249512,6,358,358,0.6939277648925781,3,872,377,0.7381281852722168,5,806
152,221780,390,1.1142568588256836,4,390,390,0.8176140785217285,6,874,418,0.9597320556640625,5,814
153,203814,373,0.9465937614440918,6,373,373,0.7537329196929932,4,870,396,0.8048841953277588,6,815
154,181829,266,0.5770938396453857,6,273,269,0.48046374320983887,6,866,283,0.47371840476989746,6,766
155,193677,373,0.7789580821990967,4,373,373,0.7126357555389404,4,872,395,0.6826441287994385,3,823
